,eventimage,eventtitle,placename,cityname,eventstartdate,eventDescripton
35,https://images.discotech.me/events/37148875/34407095-151e-4d93-ae0c-1fe71eb315d8.jpg?auto=format%2Ccompress,Usher: My Way - The Vegas Residency,Park Theater at Park MGM,Las Vegas,"Friday, July 29, 2022 9:00 PM","Artists
Usher
Pop, R&B, Rap / Hip-Hop
31 Upcoming Events"
36,https://d3nxoulyw7bc8u.cloudfront.net/venue_template/3828/a66eea6d-2f44-45ec-98ee-749b22dc5bd4.jpg,Fridays,Foundation Room,Las Vegas,"Friday, July 29, 2022 9:30 PM","Bottle Service
Bottle Menu Floor Plan Unavailable
Table Reservations close at 7:30 pm
Inside Table
6 GUESTS | $500.00 MIN
Table for 6 located indoors.
Outside Table
6 GUESTS | $500.00 MIN
Table for 6 located outdoors.
Inside Table (Large)
12 GUESTS | $1,000.00 MIN
Table for 12 located indoors.
Outside Table (Large)
12 GUESTS | $1,000.00 MIN
Table for 12 located outdoors."
37,https://images.discotech.me/events/37164025/97824274-97d2-4c3e-9ade-58117228d0b0.jpg?auto=format%2Ccompress,Chateau Rooftop Fridays,Chateau,Las Vegas,"Friday, July 29, 2022 10:00 PM",
38,https://images.discotech.me/events/37164942/001c43f8-0f28-4913-b537-5f0b4891435d.png?auto=format%2Ccompress,Cheat Codes,Zouk,Las Vegas,"Friday, July 29, 2022 10:00 PM","Tickets
Use promo code DISCO to get a 10% discount off your tickets!
View Tickets"
39,https://images.discotech.me/events/37189557/e23ef7af-c25f-4ea3-a964-2982cd66b57f.jpeg?auto=format%2Ccompress,DaBaby,Drai's Nightclub,Las Vegas,"Friday, July 29, 2022 10:00 PM","Tickets
Use promo code DISCO to save 10% on your ticket purchase! Promo code only valid for certain events.
View Tickets"
40,https://images.discotech.me/events/37230037/e16ca74e-ea6f-47af-9b67-b0f9ce61de26.jpg?auto=format%2Ccompress,Holy House w/ CHAPTER & VERSE! (21+),Discopussy,Las Vegas,"Friday, July 29, 2022 10:00 PM","Bottle Service
Bottle Menu Unavailable Floor Plan Unavailable
Table Reservations close at 8 pm
VIP Table for 6
6 GUESTS | $400.00 MIN
VIP table for up to 6 guests. Includes one bottle + unlimited mixers.
Prime VIP table
6 GUESTS | $800.00 MIN
Prime VIP table behind DJ for up to 6 guests. Includes two bottles + unlimited mixers.
VIP table for 12
12 GUESTS | $800.00 MIN
Large VIP table for up to 12 guests. Includes two bottles + unlimited mixers."
41,https://images.discotech.me/venue/None/334b8a86-932e-46bc-9fce-dab73ff5737c.jpg?auto=format%2Ccompress,Party Bus Rental,Las Vegas Party Bus,Las Vegas,"Friday, July 29, 2022 10:00 PM","Event Details
Las Vegas transportation services offered in this limousine type include:
Point to point services:
Single stop trips made easy and convenient, as our service can drop you off and pick you up later on.
Dedicated chauffeur services:
Have the convenience of a dedicated Chauffeur for several hours or for the day as your agenda can change from one moment to the next.
Disclaimer:
* Hourly rates do not include driver gratuity, Nevada excise tax, fees or applicable fuel surcharges.
* Fuel surcharges are subject to change.
* This party bus requires a minimum 2-hour booking.
† Complimentary champagne requires a minimum of 2-hour booking."
42,https://images.discotech.me/events/37187280/4c992132-efae-4d8a-819e-65c24ff21c6a.jpg?auto=format%2Ccompress,Alesso,Omnia,Las Vegas,"Friday, July 29, 2022 10:30 PM","Bottle Service
Bottle Menu Floor Plan
Table Reservations close at 8:30 pm
Heart 2nd Tier
8 GUESTS | $1,000.00 MIN
Terrace Strip View
6 GUESTS | $1,000.00 MIN
Terrace Cabana
8 GUESTS | $1,500.00 MIN
Heart Dance Floor
10 GUESTS | $2,000.00 MIN
Terrace 2nd Tier
8 GUESTS | $2,000.00 MIN
Main Room 3rd Tier
10 GUESTS | $6,000.00 MIN
3rd Tier Main Room Table"
43,https://images.discotech.me/events/37175418/c4ff5581-8cfc-4d62-8dc7-c44225111352.jpg?auto=format%2Ccompress,Angie Vee,Light,Las Vegas,"Friday, July 29, 2022 10:30 PM","Tickets
Use promo code DISCO to save $2 on your ticket purchase!
View Tickets"
44,https://images.discotech.me/events/37168851/894dbcf2-3d3b-4050-91a6-decdaee61d3d.jpeg?auto=format%2Ccompress,Dillon Francis,XS Nightclub,Las Vegas,"Friday, July 29, 2022 10:30 PM","Bottle Service
Bottle Menu Unavailable Floor Plan
Table Reservations close at 8:30 pm
4 Top Table
4 GUESTS | $1,500.00 MIN
Tables 300-304, 400-407. Small table located indoors near outdoor area. 20% deposit required to secure your reservation.
Pool Deck / Lawn
6 GUESTS | $1,500.00 MIN
No Specific Location
6 GUESTS | $1,500.00 MIN
Poolside Section
10 GUESTS | $2,000.00 MIN
Tables 727-728, 822-823. Daybed located at edge of pool with clear central view of stage. 20% deposit required to secure your reservation.
Lower Cabana
10 GUESTS | $2,000.00 MIN
Cabanas 5-12. Cabana located on 1st floor of outdoor patio. 20% deposit required to secure your reservation.
Back Wall
6 GUESTS | $2,500.00 MIN
Tables 100-170, 200-260. Indoor VIP Booth located on the back wall. 20% deposit required to secure your reservation.
Small Side Stage Patio
4 GUESTS | $2,500.00 MIN
3rd Tier Section
8 GUESTS | $3,000.00 MIN
Tables 300-370, 400-470. Indoor table located between back wall table and dance floor tables. 20% deposit required to secure your reservation.
Platform Section
12 GUESTS | $3,000.00 MIN
Large Side Stage Patio
8 GUESTS | $3,500.00 MIN
Large 3rd Tier Section
12 GUESTS | $5,000.00 MIN
Tables 380, 390, 480, 490. Indoor table located between back wall table and dance floor tables. 20% deposit required to secure your reservation.
Premium Section
15 GUESTS | $5,000.00 MIN
Lower Dance Floor
12 GUESTS | $6,000.00 MIN
Tables 500-530, 600-630. Table located on the dance floor. 20% deposit required to secure your reservation.
Upper Dance Floor
12 GUESTS | $6,000.00 MIN
Tables 540-560, 640-660. Large elevated tables located right behind DF Tables. 20% deposit required to secure your reservation.
Owner's Table
15 GUESTS | $7,000.00 MIN
Tables 530, 570, 630, 670. Best table in the club with views of the DJ and dancefloor. 20% deposit required to secure your reservation.
Small Stage
8 GUESTS | $7,000.00 MIN"
